,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot
5773,Micromax,Ninja A91,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,Class 12,"2013, March. Released 2013, March",Discontinued,130 x 66 x 10 mm (5.12 x 2.60 x 0.39 in),149.1 g (5.26 oz),Dual SIM,TFT touchscreen,"4.5 inches, 55.8 cm (~65.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5774,Micromax,Ninja A54,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,Class 12,"2013, January. Released 2013, January",Discontinued,116 x 62 x 12 mm (4.57 x 2.44 x 0.47 in),109 g (3.84 oz),Dual SIM,TFT touchscreen,"3.5 inches, 36.5 cm (~50.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5775,Micromax,Bolt A51,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 32,"2013, April. Released 2013, April",Discontinued,118.5 x 62.5 x 12.8 mm (4.67 x 2.46 x 0.50 in),118 g (4.16 oz),Dual SIM,TFT touchscreen,"3.5 inches, 36.5 cm (~49.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5776,Micromax,A115 Canvas 3D,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2013, April. Released 2013, May",Discontinued,-,-,Dual SIM (dual stand-by),"3D capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5777,Micromax,A116 Canvas HD,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2013, January. Released 2013, February",Discontinued,144 x 74 x 10.7 mm (5.67 x 2.91 x 0.42 in),156 g (5.50 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~64.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5778,Micromax,A101,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2012, December. Released 2012, December",Discontinued,148 x 79 x 10.3 mm (5.83 x 3.11 x 0.41 in),200 g (7.05 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm (~60.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5779,Micromax,A110 Canvas 2,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2012, October. Released 2012, November",Discontinued,147 x 76.5 x 9.7 mm (5.79 x 3.01 x 0.38 in),168 g (5.93 oz),Dual SIM (Mini-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~61.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5780,Micromax,A89 Ninja,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2013, February. Released 2013, February",Discontinued,-,-,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors","3.97 inches, 44.9 cm","480 x 800 pixels, 5:3 ratio (~235 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5781,Micromax,A87 Ninja 4.0,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2012, September. Released 2012, September",Discontinued,124.8 x 64 x 11.7 mm (4.91 x 2.52 x 0.46 in),-,"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5782,Micromax,A57 Ninja 3.0,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2012, September. Released 2012, September",Discontinued,116 x 62 x 11.5 mm (4.57 x 2.44 x 0.45 in),93.8 g (3.28 oz),"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~50.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
