,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot
9792,verykool,s5518 Maverick,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, July","Available. Released 2015, July",157 x 77.7 x 8.1 mm (6.18 x 3.06 x 0.32 in),172 g (6.07 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~68.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB"
9793,verykool,s5012 Orbit,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, October","Available. Released 2014, October",146.1 x 74.8 x 9.5 mm (5.75 x 2.94 x 0.37 in),159 g (5.61 oz),"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~63.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB"
9794,verykool,SL4500 Fusion,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, March","Available. Released 2015, March",131.6 x 65.6 x 8.9 mm (5.18 x 2.58 x 0.35 in),130 g (4.59 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~64.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 64 GB"
9795,verykool,i330 Sunray,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,No,"2014, October","Available. Released 2014, October",107.8 x 52.3 x 17.8 mm (4.24 x 2.06 x 0.70 in),98 g (3.46 oz),Mini-SIM,TFT,"2.4 inches, 17.8 cm (~31.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9796,verykool,s4510 Luna,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, September",136 x 67.5 x 10.2 mm (5.35 x 2.66 x 0.40 in),142 g (5.01 oz),Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 57.6 cm (~62.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9797,verykool,s5014 Atlas,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, February",149 x 76.6 x 8.3 mm (5.87 x 3.02 x 0.33 in),112 g (3.95 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~60.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB"
9798,verykool,s6001 Cyprus,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, February",166 x 85 x 8 mm (6.54 x 3.35 x 0.31 in),200 g (7.05 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm (~70.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 32 GB"
9799,verykool,s5015 Spark II,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, February",143.5 x 71.5 x 8 mm (5.65 x 2.81 x 0.31 in),135 g (4.76 oz),"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB"
9800,verykool,s4010 Gazelle,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, January",127.5 x 64.9 x 11 mm (5.02 x 2.56 x 0.43 in),128 g (4.52 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~55.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB"
9801,verykool,s4002 Leo,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, January",122 x 63 x 10.7 mm (4.80 x 2.48 x 0.42 in),112 g (3.95 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~59.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB"
9802,verykool,s3501 Lynx,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, November","Available. Released 2014, November",113.4 x 60.2 x 12.5 mm (4.46 x 2.37 x 0.49 in),88.5 g (3.14 oz),Dual SIM (Mini-SIM/ Micro-SIM),"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~53.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB"
9803,verykool,R27,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, October",111.4 x 51.5 x 15.6 mm (4.39 x 2.03 x 0.61 in),110 g (3.88 oz),Mini-SIM,TFT,"2.2 inches, 15.2 cm (~26.6% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9804,verykool,s5511 Juno Quatro,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, October","Available. Released 2014, October",150.4 x 77.2 x 8.5 mm (5.92 x 3.04 x 0.33 in),157 g (5.54 oz),Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)",,"microSD, up to 32 GB"
9805,verykool,s5510 Juno,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, October","Available. Released 2014, October",150.4 x 77.2 x 8.5 mm (5.92 x 3.04 x 0.33 in),157 g (5.54 oz),Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)",,"microSD, up to 32 GB"
9806,verykool,s354,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, July","Available. Released 2014, July",119 x 65 x 12 mm (4.69 x 2.56 x 0.47 in),105 g (3.70 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~47.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9807,verykool,SL5000 Quantum,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, September",143 x 72.8 x 8.9 mm (5.63 x 2.87 x 0.35 in),140 g (4.94 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 64 GB (dedicated slot)"
9808,verykool,s401,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2014, June","Available. Released 2014, June",126 x 65 x 10.4 mm (4.96 x 2.56 x 0.41 in),100 g (3.53 oz),Single SIM or Dual SIM (dual stand-by),TFT capacitive touchscreen,"4.0 inches, 45.5 cm (~55.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB"
9809,verykool,s352,GSM,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2014, June","Available. Released 2014, June",118 x 63.1 x 12.4 mm (4.65 x 2.48 x 0.49 in),104 g (3.67 oz),Single SIM or Dual SIM (dual stand-by),TFT capacitive touchscreen,3.5 inches,320 x 480 pixels,,"microSD, up to 32 GB"
9810,verykool,s351,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2014, June","Available. Released 2014, June",116.9 x 62.7 x 12.7 mm (4.60 x 2.47 x 0.5 in),90.5 g (3.21 oz),Single SIM or Dual SIM (dual stand-by),TFT capacitive touchscreen,3.5 inches,320 x 480 pixels,,"microSD, up to 32 GB"
9811,verykool,i129,GSM,GSM 850 / 900 / 1800 / 1900,Yes,No,"2014, June","Available. Released 2014, June",113.5 x 48.4 x 14 mm (4.47 x 1.91 x 0.55 in),75 g (2.65 oz),Mini-SIM,TFT,"1.77 inches, 9.9 cm (~17.9% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9812,verykool,s505,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2014, May","Available. Released 2014, May",143.5 x 71.6 x 8.3 mm (5.65 x 2.82 x 0.33 in),100 g (3.53 oz),Single SIM or Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB"
9813,verykool,s450,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2014, May","Available. Released 2014, May",131.4 x 66.8 x 9.9 mm (5.17 x 2.63 x 0.39 in),132.5 g (4.66 oz),Single SIM or Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~63.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 32 GB"
9814,verykool,T742,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2014, February","Available. Released 2014, February",192 x 107.8 x 9.5 mm (7.56 x 4.24 x 0.37 in),250 g (8.82 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",TFT capacitive touchscreen,"7.0 inches, 139.5 cm (~67.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9815,verykool,s353,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2014, February","Available. Released 2014, February",118 x 63.1 x 12.4 mm (4.65 x 2.48 x 0.49 in),104 g (3.67 oz),Single SIM or Dual SIM (dual stand-by),TFT capacitive touchscreen,3.5 inches,480 x 800 pixels,,"microSD, up to 32 GB (dedicated slot)"
9816,verykool,R80L Granite II,GSM,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, January","Available. Released 2014, January",109.9 x 47.3 x 14.6 mm (4.33 x 1.86 x 0.57 in),73.7 g (2.57 oz),Mini-SIM,TFT,"2.4 inches, 17.8 cm (~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","Secondary 1"" display on the back","microSD, up to 32 GB (dedicated slot)"
9817,verykool,i240,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,"2014, January","Available. Released 2014, January",116 x 51 x 11.8 mm (4.57 x 2.01 x 0.46 in),85 g (3.00 oz),Dual SIM,TFT,"2.4 inches, 17.8 cm (~30.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9818,verykool,i603,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,2013. Released 2013,Discontinued,100 x 59 x 13 mm (3.94 x 2.32 x 0.51 in),85 g (3.00 oz),Dual SIM (Mini-SIM),TFT,"2.0 inches, 12.6 cm (~21.3% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,"microSD, up to 16 GB (dedicated slot)"
9819,verykool,i128,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,2013. Released 2013,Discontinued,108.5 x 46.8 x 10.9 mm (4.27 x 1.84 x 0.43 in),55 g (1.94 oz),Dual SIM,TFT,"1.77 inches, 9.9 cm (~19.4% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9820,verykool,i133,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,110 x 48.2 x 12.4 mm (4.33 x 1.90 x 0.49 in),85 g (3.00 oz),Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm (~19.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9821,verykool,s400,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2013, September. Released 2013, September",Discontinued,119 x 65 x 12 mm (4.69 x 2.56 x 0.47 in),120 g (4.23 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",TFT capacitive touchscreen,"4.0 inches, 45.5 cm (~58.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9822,verykool,i127,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,2013. Released 2013,Discontinued,109 x 46 x 13.4 mm (4.29 x 1.81 x 0.53 in),55 g (1.94 oz),Dual SIM (Mini-SIM),TFT,"1.77 inches, 9.9 cm (~19.7% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,"microSD, up to 8 GB (dedicated slot)"
9823,verykool,s470,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,"2013, September. Released 2013, September",Discontinued,137 x 71 x 10.5 mm (5.39 x 2.80 x 0.41 in),150 g (5.29 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~62.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9824,verykool,i316,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,No,"2013, September. Released 2013, September",Discontinued,89 x 44 x 16.4 mm (3.50 x 1.73 x 0.65 in),69 g (2.43 oz),Mini-SIM,TFT,"1.8 inches, 10.2 cm (~26.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,"microSD, up to 8 GB (dedicated slot)"
9825,verykool,RS90,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,144 x 75.6 x 12.1 mm (5.67 x 2.98 x 0.48 in),201 g (7.09 oz),Dual SIM (Mini-SIM),IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm (~51.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9826,verykool,i126,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,No,2013. Released 2013,Discontinued,111.4 x 44.4 x 14.6 mm (4.39 x 1.75 x 0.57 in),64 g (2.26 oz),Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm (~20.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9827,verykool,RS75,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,121.6 x 64.7 x 12.5 mm (4.79 x 2.55 x 0.49 in),120 g (4.23 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"3.5 inches, 36.5 cm (~46.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9828,verykool,i607,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,111 x 59 x 11 mm (4.37 x 2.32 x 0.43 in),82 g (2.89 oz),Dual SIM (Mini-SIM),TFT,"2.2 inches, 15.2 cm (~23.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9829,verykool,s732,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,2013. Released 2013,Discontinued,117.5 x 62.5 x 12.8 mm (4.63 x 2.46 x 0.50 in),120 g (4.23 oz),Single SIM or Dual SIM (dual stand-by),TFT capacitive touchscreen,"3.5 inches, 36.5 cm (~49.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9830,verykool,s758,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,152.3 x 80 x 11 mm (6.00 x 3.15 x 0.43 in),212 g (7.48 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 16M colors","5.15 inches, 75.5 cm (~62.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~181 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9831,verykool,s350,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,113 x 60 x 10.6 mm (4.45 x 2.36 x 0.42 in),100 g (3.53 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"3.5 inches, 36.5 cm (~53.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9832,verykool,R623,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,115 x 62.4 x 15.4 mm (4.53 x 2.46 x 0.61 in),112 g (3.95 oz),Dual SIM (Mini-SIM),TFT,"2.3 inches, 16.4 cm (~22.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9833,verykool,i601,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,2013. Released 2013,Discontinued,100 x 55 x 12.4 mm (3.94 x 2.17 x 0.49 in),85 g (3.00 oz),Dual SIM (Mini-SIM),TFT,"2.0 inches, 12.6 cm (~22.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),,"microSD, up to 8 GB (dedicated slot)"
9834,verykool,i121C,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,2013. Released 2013,Discontinued,109 x 44 x 13 mm (4.29 x 1.73 x 0.51 in),65 g (2.29 oz),Dual SIM (Mini-SIM),TFT,"1.77 inches, 9.9 cm (~20.6% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,"microSD, up to 8 GB (dedicated slot)"
9835,verykool,i121,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,2013. Released 2013,Discontinued,109 x 44 x 13 mm (4.29 x 1.73 x 0.51 in),65 g (2.29 oz),Dual SIM (Mini-SIM),TFT,"1.77 inches, 9.9 cm (~20.6% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,"microSD, up to 8 GB (dedicated slot)"
9836,verykool,R25,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,111.4 x 51.5 x 15.6 mm (4.39 x 2.03 x 0.61 in),110 g (3.88 oz),Dual SIM (Mini-SIM),TFT,"2.2 inches, 15.2 cm (~26.6% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9837,verykool,s735,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,2012,Discontinued,118.5 x 61 x 10.8 mm (4.67 x 2.40 x 0.43 in),121 g (4.27 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"3.5 inches, 36.5 cm (~50.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9838,verykool,s135,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2012, November. Released 2012, November",Discontinued,108 x 45 x 12.3 mm (4.25 x 1.77 x 0.48 in),80 g (2.82 oz),Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm (~21.0% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9839,verykool,i320,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,No,"2012, November. Released 2012, November",Discontinued,96 x 48 x 17 mm (3.78 x 1.89 x 0.67 in),85 g (3.00 oz),Mini-SIM,TFT,"2.2 inches, 15.0 cm (~32.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Secondary external display,"microSD, up to 32 GB (dedicated slot)"
9840,verykool,i315N,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,No,"2012, October. Released 2012, October",Discontinued,80 x 38 x 22 mm (3.15 x 1.50 x 0.87 in),70 g (2.47 oz),Mini-SIM,TFT,"1.44 inches, 6.7 cm (~22.0% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~126 ppi density)",Dedicated music keys,"microSD, up to 8 GB (dedicated slot)"
9841,verykool,s635,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2012, October. Released 2012, October",Discontinued,108 x 57.2 x 12.5 mm (4.25 x 2.25 x 0.49 in),80 g (2.82 oz),Dual SIM (Mini-SIM),TFT,"2.0 inches, 12.4 cm (~20.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~200 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9842,verykool,s728,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2012, October. Released 2012, October",Discontinued,104 x 56.8 x 12.9 mm (4.09 x 2.24 x 0.51 in),90 g (3.17 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"2.8 inches, 24.3 cm (~41.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9843,verykool,i625,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,"2012, October. Released 2012, October",Discontinued,111 x 58.4 x 11.2 mm (4.37 x 2.30 x 0.44 in),110 g (3.88 oz),Dual SIM (Mini-SIM),TFT,"2.3 inches, 16.4 cm (~25.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9844,verykool,i130,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,No,"2012, October. Released 2012, October",Discontinued,107 x 45 x 12 mm (4.21 x 1.77 x 0.47 in),63 g (2.22 oz),Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm (~21.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,microSD (dedicated slot)
9845,verykool,R800,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2012, August. Released 2012, August",Discontinued,216 x 125 x 11 mm (8.50 x 4.92 x 0.43 in),417 g (14.71 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 139.5 cm (~51.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 16 GB (dedicated slot)"
9846,verykool,i123,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,No,No,"2012, August. Released 2012, August",Discontinued,107 x 45 x 11.3 mm (4.21 x 1.77 x 0.44 in),80 g (2.82 oz),Dual SIM (Mini-SIM),TFT,"1.8 inches, 10.2 cm (~21.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,"microSD, up to 4 GB (dedicated slot)"
9847,verykool,s757,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 2 (optional),Yes,Yes,2012. Released 2012,Discontinued,148 x 77 x 12.8 mm (5.83 x 3.03 x 0.50 in),288 g (10.16 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm (~62.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9848,verykool,i675,GSM,GSM 850 / 900 / 1800 / 1900,Yes,No,"2012, June",Discontinued,122 x 60 x 11 mm (4.80 x 2.36 x 0.43 in),100 g (3.53 oz),Mini-SIM,TFT capacitive touchscreen,"2.8 inches, 24.3 cm (~33.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9849,verykool,i674,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,No,"2012, June",Discontinued,122 x 60 x 11 mm (4.80 x 2.36 x 0.43 in),100 g (3.53 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"2.8 inches, 24.3 cm (~33.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9850,verykool,i672,GSM,GSM 850 / 900 / 1800 / 1900,Class 12,No,"2012, May",Discontinued,119 x 57.2 x 13 mm (4.69 x 2.25 x 0.51 in),90 g (3.17 oz),Mini-SIM,TFT touchscreen,"2.4 inches, 17.8 cm (~26.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio",,"microSD, up to 8 GB (dedicated slot)"
9851,verykool,R16,GSM,GSM 850 / 900 / 1800 / 1900,Class 12,No,2012. Released 2012,Discontinued,109.9 x 47.3 x 14.6 mm (4.33 x 1.86 x 0.57 in),73.7 g (2.57 oz),Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm (~19.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),,"microSD, up to 32 GB (dedicated slot)"
9852,verykool,s700,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,2012,Discontinued,117 x 65 x 12.7 mm (4.61 x 2.56 x 0.5 in),110 g (3.88 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"3.5 inches, 34.9 cm (~45.8% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
9853,verykool,i605,GSM,GSM 850 / 900 / 1800 / 1900,Class 12,No,"2012, Q1",Discontinued,118 x 49.8 x 13.5 mm (4.65 x 1.96 x 0.53 in),79 g (2.79 oz),Mini-SIM,TFT,"2.0 inches, 12.4 cm (~21.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio",,"microSD, up to 2 GB (dedicated slot)"
